symbol,high52,low52,dividendAmount,dividendYield,dividendDate,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,quickRatio,currentRatio,interestCoverage,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,epsTTM,epsChangePercentTTM,epsChangeYear,epsChange,revChangeYear,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare,shortIntToFloat,shortIntDayToCover,divGrowthRate3Year,dividendPayAmount,dividendPayDate,beta,vol1DayAvg,vol10DayAvg,vol3MonthAvg,avg10DaysVolume,avg1DayVolume,avg3MonthVolume,declarationDate,dividendFreq,eps,dtnVolume,nextDividendPayDate,nextDividendDate,fundLeverageFactor
MMM,132.62,71.3548,2.8,2.1309,2024-08-26 00:00:00.0,51.38346,0.04659,14.33566,1.73727,-7.0279,44.7629,42.9416,2.8913,18.3053,4.4152,19.3445,24.314,7.5156,3.43309,0.96988,1.3604,0.0,69.2952,345.8124,308.9267,2.56133,-167.6281,0.0,0.0,-4.5225,12.3226,0.0,549353621.0,0.0,72185065799.0,7.12838,0.0,0.0,0.0,0.7,2024-09-12 00:00:00.0,0.99963,0.0,0.0,0.0,3084059,4453133,4563633,2024-08-16 00:00:00.0,4,-12.63,2878736,2024-12-12 00:00:00.0,2024-11-26 00:00:00.0,0.0
AOS,92.445,64.14,1.28,1.56556,2024-07-31 00:00:00.0,21.15855,0.1546,6.2394,3.08122,18.80167,38.3511,38.6605,14.674,15.2494,14.674,15.2494,30.3421,14.5333,25.11764,1.01238,1.69796,0.0,7.4685,8.6367,8.1136,3.86794,116.4096,0.0,0.0,2.6345,5.1157,0.0,119958980.0,0.0,11924315325.0,13.10703,0.0,0.0,0.0,0.32,2024-08-15 00:00:00.0,1.14072,0.0,0.0,0.0,643947,952489,949967,2024-07-08 00:00:00.0,4,3.69,702370,2024-11-15 00:00:00.0,2024-10-31 00:00:00.0,0.0
ABT,121.64,89.674,2.2,1.94518,2024-07-15 00:00:00.0,35.6157,-2.07954,4.59822,4.44031,19.67151,55.4745,55.6422,13.6451,12.5469,13.6451,12.5469,14.4405,6.2546,9.33965,1.02275,1.68016,0.0,24.2863,37.5252,33.3998,3.16995,8.3387,0.0,0.0,-8.1186,1.2404,0.0,1739897004.0,0.0,196782351152.0,22.59788,0.0,0.0,0.0,0.55,2024-08-15 00:00:00.0,0.71819,0.0,0.0,0.0,4544512,5807181,6409838,2024-06-14 00:00:00.0,4,3.26,2705392,2024-11-15 00:00:00.0,2024-10-15 00:00:00.0,0.0
ABBV,198.3,135.85,6.2,3.16456,2024-07-15 00:00:00.0,65.35161,-1.23084,44.68789,5.51515,13.68156,69.66,70.9445,9.7072,9.4731,9.7272,9.4938,54.2623,7.9357,5.48118,0.59361,0.80678,0.0,75.0421,1039.9941,855.4757,2.98998,-38.5238,0.0,0.0,-6.4354,-1.8261,0.0,1766343745.0,0.0,346062066520.0,3.83818,0.0,0.0,0.0,1.55,2024-08-15 00:00:00.0,0.62275,0.0,0.0,0.0,3982418,5295206,5369799,2024-06-20 00:00:00.0,4,2.72,2504553,2024-11-15 00:00:00.0,2024-10-15 00:00:00.0,0.0
ACN,387.51,278.69,5.16,1.51595,2024-07-11 00:00:00.0,30.40445,53.82176,6.37564,2.74349,19.06434,32.5804,33.391,10.7845,11.7337,11.0254,12.0323,26.0004,12.2436,20.1481,1.02931,1.1575,0.0,6.9564,16.0782,8.0749,11.09673,-1.0619,0.0,0.0,4.0871,1.4565,0.0,626384411.0,0.0,213208725816.0,44.27631,0.0,0.0,0.0,1.29,2024-08-15 00:00:00.0,1.22642,0.0,0.0,0.0,1771568,2536884,3307924,2024-06-20 00:00:00.0,4,10.77177,2154150,2024-11-15 00:00:00.0,2024-10-11 00:00:00.0,0.0
ADBE,638.25,433.97,0.0,0.0,,50.41616,2.77926,13.45397,9.86989,36.56263,88.2422,88.7361,24.8617,29.6289,24.8617,29.6289,34.2239,15.6279,25.86181,1.02143,1.1635,0.0,21.6165,41.0294,30.4857,11.11826,6.058,0.0,0.0,10.2408,10.8524,0.0,443400000.0,0.0,251771388000.0,33.05791,0.0,0.0,0.0,0.0,,1.29753,0.0,0.0,0.0,1612732,3113021,3064537,,0,11.82,1404415,,,0.0
AMD,227.3,93.115,0.0,0.0,,175.34864,-7.65938,4.64211,11.26536,50.44948,51.4177,53.0419,5.8171,4.5415,5.8171,4.5415,2.4249,0.8014,2.23905,1.79387,2.81921,0.0,3.8191,3.9707,3.9707,0.83468,-5444.0169,0.0,0.0,-3.9024,6.3997,0.0,1618481845.0,0.0,243581517672.0,34.94314,0.0,0.0,0.0,0.0,,1.68114,0.0,0.0,0.0,46504981,60032791,53274751,,0,0.52912,35102650,,,0.0
AES,22.21,11.43,0.69,3.97237,2024-08-01 00:00:00.0,16.37347,-0.37216,4.04049,0.96763,4.7277,20.79,18.7967,6.0664,6.2882,-0.9654,-1.3256,-1.7171,3.2285,1.75349,0.34012,0.97272,0.0,68.8176,367.0491,321.4123,1.05048,-289.7972,0.0,0.0,0.4042,-4.0454,0.0,710924314.0,0.0,12348755334.0,4.34848,0.0,0.0,0.0,0.1725,2024-08-15 00:00:00.0,1.07859,0.0,0.0,0.0,6129751,7970476,7497921,2024-07-12 00:00:00.0,4,0.34,5240876,2024-11-15 00:00:00.0,2024-11-01 00:00:00.0,0.0
AFL,109.34,73.6248,2.0,1.85684,2024-08-21 00:00:00.0,11.55521,1.12664,1.92482,2.67442,10.15784,49.57,53.7757,28.3412,34.1572,28.3412,34.1572,23.5382,3.2287,4.88958,1.26331,1.4107,0.0,19.3383,47.5064,28.5253,9.41826,21.2575,0.0,0.0,-2.2937,3.6512,0.0,560026311.0,0.0,60320433957.0,46.39907,0.0,0.0,0.0,0.5,2024-09-02 00:00:00.0,0.94686,0.0,0.0,0.0,2061965,2265410,2206869,2024-07-31 00:00:00.0,4,7.78,1693019,2024-12-02 00:00:00.0,2024-11-21 00:00:00.0,0.0
A,155.35,96.8,0.944,0.66903,2024-07-02 00:00:00.0,29.30106,140.17488,6.88746,6.34962,16.09681,54.3943,54.1825,21.7484,17.8707,21.7484,17.8707,24.6575,8.9059,16.40734,1.25827,1.7815,0.0,24.1878,49.6696,36.2019,4.81416,25.8106,0.0,0.0,-0.2191,-7.1061,0.0,287529636.0,0.0,40570431639.0,20.53006,0.0,0.0,0.0,0.236,2024-07-24 00:00:00.0,1.04865,0.0,0.0,0.0,1503319,1836285,2126154,2024-05-22 00:00:00.0,4,4.19,949743,2024-10-24 00:00:00.0,2024-10-02 00:00:00.0,0.0
